year_1,region,country_cd,mtrl_grp_cd,mtrl_prc_grp_cd,mct,basic_material,cost_eur_kcs,cost_eur_mk,cost_usd_kcs,cost_usd_mk,row_inserted_by,row_insert_timestamp,row_updated_by,row_update_timestamp,row_status,refresh_datetime
2024,6,,H189,TQ,ALG,10805138,434.1627,2.6254,464.5541,2.8091,SALTAMIR,2025-05-08 22:35:00+00:00,SALTAMIR,2025-05-08 22:35:00+00:00,ACTIVE,2025-05-15 00:10:03.416705+00:00
2023,2,,H189,TQ,ALG,10805138,574.01,3.47,579.7501,3.5047,SALTAMIR,2025-05-08 22:35:00+00:00,SALTAMIR,2025-05-08 22:35:00+00:00,ACTIVE,2025-05-15 00:10:03.416705+00:00
2024,6,MY,H189,TQ,ALG,10805138,411.8979,2.4907,440.7308,2.6651,SALTAMIR,2025-05-08 22:35:00+00:00,SALTAMIR,2025-05-08 22:35:00+00:00,ACTIVE,2025-05-15 00:10:03.416705+00:00
2024,6,PH,H189,TQ,ALG,10805138,411.8979,2.4907,440.7308,2.6651,SALTAMIR,2025-05-08 22:35:00+00:00,SALTAMIR,2025-05-08 22:35:00+00:00,ACTIVE,2025-05-15 00:10:03.416705+00:00
2024,6,PK,H189,TQ,ALG,10805138,411.8979,2.4907,440.7308,2.6651,SALTAMIR,2025-05-08 22:35:00+00:00,SALTAMIR,2025-05-08 22:35:00+00:00,ACTIVE,2025-05-15 00:10:03.416705+00:00
2024,5,JP,H189,TQ,ALG,10805138,544.398,3.2919,582.5058,3.5224,SALTAMIR,2025-05-08 22:35:00+00:00,SALTAMIR,2025-05-08 22:35:00+00:00,ACTIVE,2025-05-15 00:10:03.416705+00:00
2023,6,,H189,TQ,ALG,10805138,364.25,2.2,367.8925,2.222,SALTAMIR,2025-05-08 22:35:00+00:00,SALTAMIR,2025-05-08 22:35:00+00:00,ACTIVE,2025-05-15 00:10:03.416705+00:00
2024,5,TW,H189,TQ,ALG,10805138,544.398,3.2919,582.5058,3.5224,SALTAMIR,2025-05-08 22:35:00+00:00,SALTAMIR,2025-05-08 22:35:00+00:00,ACTIVE,2025-05-15 00:10:03.416705+00:00
2024,5,CN,H189,TQ,ALG,10805138,544.398,3.2919,582.5058,3.5224,SALTAMIR,2025-05-08 22:35:00+00:00,SALTAMIR,2025-05-08 22:35:00+00:00,ACTIVE,2025-05-15 00:10:03.416705+00:00
2024,5,KR,H189,TQ,ALG,10805138,544.398,3.2919,582.5058,3.5224,SALTAMIR,2025-05-08 22:35:00+00:00,SALTAMIR,2025-05-08 22:35:00+00:00,ACTIVE,2025-05-15 00:10:03.416705+00:00
2024,5,HK,H189,TQ,ALG,10805138,544.398,3.2919,582.5058,3.5224,SALTAMIR,2025-05-08 22:35:00+00:00,SALTAMIR,2025-05-08 22:35:00+00:00,ACTIVE,2025-05-15 00:10:03.416705+00:00
2024,6,VN,H189,TQ,ALG,10805138,411.8979,2.4907,440.7308,2.6651,SALTAMIR,2025-05-08 22:35:00+00:00,SALTAMIR,2025-05-08 22:35:00+00:00,ACTIVE,2025-05-15 00:10:03.416705+00:00
2024,2,,H189,TQ,ALG,10805138,1909.4762,11.5467,2043.1395,12.3549,SALTAMIR,2025-05-08 22:35:00+00:00,SALTAMIR,2025-05-08 22:35:00+00:00,ACTIVE,2025-05-15 00:10:03.416705+00:00
2023,5,,H189,TQ,ALG,10805138,520.41,3.15,525.6141,3.1815,SALTAMIR,2025-05-08 22:35:00+00:00,SALTAMIR,2025-05-08 22:35:00+00:00,ACTIVE,2025-05-15 00:10:03.416705+00:00
2024,5,,H189,TQ,ALG,10805138,1.1672,0.0071,1.2488,0.0075,SALTAMIR,2025-05-08 22:35:00+00:00,SALTAMIR,2025-05-08 22:35:00+00:00,ACTIVE,2025-05-15 00:10:03.416705+00:00
